,Conversation,name,Speaker,Transcript,English Translation,LID_tags,Language from LID tool,Type of code-switching,Length of turn,Direction of code-switches,Number of code-switches,Start of code-switches,Length of code-switched segments
1544,train_1324,train_1324_0.wav,MAYA,see you tomorrow. Indravardhan pour the champagne. Monisha Ne Mere prejudice ko justify kar diya hai. vah Ek laparwah stupid middle-class pathetic Ladki Hai. and I am feeling... time to say cheers,"see you tomorrow. Indravardhan pour the champagne. Monisha has justified my prejudice. Wow, she is a lazy, stupid middle-class pathetic girl. and I am feeling... time to say cheers","['EN', 'EN', 'EN', 'OTHER', 'HI', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'EN', 'EN', 'EN', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'EN', 'EN', 'EN']",CSW,"A, I",32,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",10,"[3, 4, 7, 8, 11, 12, 13, 19, 22, 24]","[1, 3, 1, 3, 1, 1, 6, 3, 2, 8]"
1545,train_1326,train_1326_3.wav,INDRAVARDHAN,bhyi hume rishta manzur hai,brother we accept the relationship,"['HI', 'HI', 'HI', 'HI', 'HI']",HI,-1,5,-1,0,-1,-1
1546,train_1327,train_1327_1.wav,INDRAVARDHAN,dekhiye rajinder kumar ji,Look Rajinder Kumar ji,"['HI', 'HI', 'HI', 'HI']",HI,-1,4,-1,0,-1,-1
1547,train_1328,train_1328_0.wav,SARITA,Mera Dinesh uske secretary Urvashi ke saath range haat pakda gaya tha.,My Dinesh was caught red handed with his secretary Urvashi.,"['HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,12,"['EN > HI', 'HI > EN']",2,"[3, 4]","[1, 8]"
1548,train_1328,train_1328_1.wav,SARITA,"maine kaha, ""Dinesh tum ye kya kar raha ho Urvashi ke saath?"" Toh usne kaha, ""Urvashi ko mental stress ho raha hai, to mai usko yoga sikha raha hu.""","I said, ""Dinesh, what are you doing with Urvashi?"" So he said, ""Urvashi is suffering from mental stress, so I am teaching her yoga.""","['HI', 'HI', 'OTHER', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'OTHER', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'OTHER']",CSW,I,29,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",11,"[3, 4, 7, 8, 15, 18, 20, 21, 23, 24, 26]","[1, 3, 1, 7, 3, 2, 1, 2, 1, 2, 3]"
1549,train_1328,train_1328_2.wav,MAYA,"Come on Sarita, shaayad sach moochyoga sikha raha ho.","Come on Sarita, perhaps he is really teaching yoga.","['EN', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,A,9,"['HI > EN', 'EN > HI']",2,"[2, 8]","[6, 1]"
1550,train_1328,train_1328_3.wav,SARITA,Bathtub me?,In the bathtub?,"['EN', 'HI', 'OTHER']",CSW,I,2,['HI > EN'],1,[1],[1]
1551,train_1329,train_1329_0.wav,SAHIL,"bathroom me kyun le gyi thi tum, ye khakhre ka packet",Why did you take this packet of tobacco to the bathroom?,"['EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'EN']",CSW,I,11,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",4,"[2, 7, 8, 10]","[5, 1, 2, 1]"
1552,train_1329,train_1329_1.wav,INDRAVARDHAN,arey nahate nahate bhukh lagi hogi bichari ko,"Hey, the poor guy must be feeling hungry while taking a bath.","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI']",HI,-1,8,-1,0,-1,-1
1553,train_132,train_132_0.wav,INDRAVARDHAN,Should we wash down spinach juice! Paakak ka juice!,Should we wash down spinach juice! Paakak's juice!,"['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'EN', 'OTHER']",CSW,I,9,"['HI > EN', 'EN > HI']",2,"[6, 8]","[2, 1]"
1554,train_132,train_132_1.wav,SAHIL,"Mom, we have createed a health freak monster!","Mom, we have createed a health freak monster!","['EN', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'OTHER']",EN,-1,8,-1,0,-1,-1
1555,train_1330,train_1330_0.wav,MONISHA,Kismi! raat ke 1 Baje!,Kismi! 1 o'clock in the night!,"['HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'OTHER']",CSW,-1,5,-1,0,-1,-1
1556,train_1330,train_1330_1.wav,SAHIL,Raat ke 3 baje hi Monisha!,Monisha at 3 o'clock in the night!,"['HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER']",CSW,-1,6,-1,0,-1,-1
1557,train_1330,train_1330_2.wav,MONISHA,"Aray haan, meri ghadi to 1 hafte se band hai...","Oh yes, my watch has been off for a week...","['HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'EN', 'HI', 'EN', 'HI', 'HI', 'OTHER']",CSW,-1,10,-1,0,-1,-1
1558,train_1330,train_1330_3.wav,KISMI,Aaila! Tum 1 hafte se band ghadi pehen rahi ho?,Ayla! Have you been wearing a closed watch for a week?,"['HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,-1,10,-1,0,-1,-1
1559,train_1330,train_1330_4.wav,MONISHA,"Haan, vo gold-plated hai na, aur fir haath pe bandi hui achchhi lagati hai, mehangi vaali! Aur vaise bhi, kareeb se kaun dekhne aata hai ki ye band hai ya chalu!","Yes, it is gold-plated, and then a nice band is put on the hand, it is expensive! And by the way, who can see closely whether this band is working or not?","['HI', 'OTHER', 'HI', 'EN', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'OTHER']",CSW,I,31,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",10,"[2, 3, 4, 5, 20, 21, 26, 27, 29, 30]","[1, 1, 1, 15, 1, 5, 1, 2, 1, 1]"
1560,train_1330,train_1330_5.wav,KISMI,"High class hai haan, Monisha! Ae par maan lo, kisi ne poonch liya, ki behan time kya hua hai, to?","Yes, Monisha, you are high class! Hey, but suppose someone asked, sister, what is the time?","['EN', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'OTHER']",CSW,I,20,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",10,"[2, 5, 6, 8, 9, 10, 11, 15, 16, 19]","[3, 1, 2, 1, 1, 1, 4, 1, 3, 1]"
1561,train_1330,train_1330_6.wav,MONISHA,"To mai fauran chauk ke keh deti hu, ""Aray! Meri ghadi to band ho gayi!""","So I immediately say, ""Hey! My watch has stopped!""","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'OTHER', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'EN', 'HI', 'OTHER', 'OTHER']",CSW,-1,15,-1,0,-1,-1
1562,train_1330,train_1330_7.wav,KISMI,"Solid, high class idea hi Monisha! Hahaha! Ae lekin Monisha, socho kisi same aadmi ne 2-3 baar time poonch liya to?","Solid, high class idea Monisha! Hahaha! Hey but Monisha, imagine if a man asked the time 2-3 times in the evening?","['EN', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'HI', 'OTHER', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'EN', 'EN', 'HI', 'EN', 'HI', 'HI', 'EN', 'OTHER']",CSW,I,21,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",10,"[5, 7, 8, 12, 13, 14, 16, 17, 18, 20]","[2, 1, 4, 1, 1, 2, 1, 1, 2, 1]"
1563,train_1330,train_1330_8.wav,MONISHA,"Ye to maine socha hi nahi! Tab to use shak ho sakta hai na, Kismi!?","I didn't even think of this! Then he might get suspicious, right?","['EN', 'EN', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'OTHER']",CSW,-1,15,-1,0,-1,-1
1564,train_1330,train_1330_9.wav,SAHIL,"Oh Chokariyon, chalo! Ye band ghadi vasool basool kal subah kheloge to chalega!?","Oh girls, come on! Will it work if you play this bandh ghadi busool busool tomorrow morning?","['HI', 'HI', 'OTHER', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER']",CSW,-1,13,-1,0,-1,-1
1565,train_1331,train_1331_0.wav,MONISHA,Kya rosesh bhaiya. Itna Sa role bus,What Rosesh bhaiya? just roll around a bit,"['HI', 'HI', 'HI', 'OTHER', 'HI', 'EN', 'HI', 'EN']",CSW,I,7,"['EN > HI', 'HI > EN', 'EN > HI']",3,"[4, 5, 6]","[1, 1, 1]"
1566,train_1331,train_1331_5.wav,ROSESH,Correct,Correct,['EN'],EN,-1,1,-1,0,-1,-1
1567,train_1331,train_1331_6.wav,MONISHA,Aur ek battura laao,and bring a batura,"['HI', 'HI', 'HI', 'HI']",HI,-1,4,-1,0,-1,-1
1568,train_1331,train_1331_7.wav,ROSESH,Nahin Nahin,No. No.,"['HI', 'HI']",HI,-1,2,-1,0,-1,-1
1569,train_1331,train_1331_8.wav,SAHIL,1 minute 1 minute come on rosesh ab yah hai na Monisha batura ke Hath Nahin de dena taki Rosesh aese Karke Haar Jayega aur Khushi Mein Na Apne Kan fadfadaye ga,1 minute 1 minute come on rosesh Now don't give it to Monisha Batura so that Rosesh will lose by doing this and don't flap your ears in happiness.,"['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN']",CSW,I,32,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",10,"[6, 7, 8, 10, 11, 16, 17, 27, 28, 31]","[1, 1, 2, 1, 5, 1, 10, 1, 3, 1]"
1570,train_1333,train_1333_0.wav,SAHIL,"Okay, aap kya bataane vaale hai, ki Dinesh uncle ka fir se kisi se affair hai?","Okay, what are you going to tell, that Dinesh uncle is having an affair with someone again?","['EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'EN', 'EN', 'HI', 'OTHER']",CSW,I,16,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",7,"[1, 8, 9, 11, 12, 13, 15]","[7, 1, 2, 1, 1, 2, 1]"
1571,train_1333,train_1333_1.wav,INDRAVARDHAN,"Nahi na, iss baar to Dinesh ne koi affair hi nahi kiya, lekin ye Sarita ka mizaaj hi aisa hai ki vo shak karti rehati hai!","No, this time Dinesh did not have any affair, but Sarita's temperament is such that she keeps doubting.","['HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'EN', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,26,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",10,"[4, 5, 6, 7, 8, 10, 13, 14, 17, 18]","[1, 1, 1, 1, 2, 3, 1, 3, 1, 8]"
1572,train_1333,train_1333_2.wav,SAHIL,That's so bad i tell you! Ye auratein humesha shak kyu karti hai apane husbands pe!... Saari auratein!,That's so bad i tell you! Why do these women always doubt their husbands!... All women!,"['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'OTHER']",CSW,"A, I",18,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[7, 14, 15]","[7, 1, 3]"
1573,train_1334,train_1334_1.wav,SARUPA,"Sirf kavita nahi Maya, humne puri detailed list banaiye Baldev ki problem ki.","Not just poetry Maya, we have made a complete detailed list of Baldev's problems.","['HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'EN', 'HI', 'EN', 'HI', 'EN', 'HI', 'OTHER']",CSW,I,13,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[6, 8, 9, 10, 11, 12]","[2, 1, 1, 1, 1, 1]"
1574,train_1334,train_1334_2.wav,SARUPA,"Baldev, list do.","Baldev, give the list.","['HI', 'OTHER', 'EN', 'HI', 'OTHER']",CSW,I,3,"['EN > HI', 'HI > EN']",2,"[1, 2]","[1, 1]"
1575,train_1334,train_1334_3.wav,BALDEV,"Ye padh lo. Isme pehli 4 pangtiya perfect meter mein nahi hai lekin uske baad, umm...","Read this. In this, the first 4 pangtiyas are not in perfect meter but after that, umm...","['HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'OTHER']",CSW,I,16,"['EN > HI', 'HI > EN', 'EN > HI']",3,"[7, 9, 15]","[2, 6, 1]"
1576,train_1334,train_1334_4.wav,INDRAVARDHAN,Kyaa baat hai Baldev! Yani tumne apni problems ka list bhi kavita mein likkha hai!,What's the matter Baldev! That means you have also written the list of your problems in poetry!,"['HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,15,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[3, 4, 7, 8, 9, 10]","[1, 3, 1, 1, 1, 5]"
1577,train_1335,train_1335_0.wav,MAYA,infact baa to humare sath honeymoon pe bhi chalne wali thi.,"In fact, she was also going to accompany us on our honeymoon.","['EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,11,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[1, 5, 6]","[4, 1, 5]"
1578,train_1335,train_1335_2.wav,MAYA,"aye indu, wahan darjeling me to bhot thandi hogi bakuda to me bhi sath chalti hun, tumhe sardi hui to kadha bana ke pilaungi na","Hey Indu, it will be very cold there in Darjeeling, Bakuda, so I will also come with you, if you get cold, I will make some decoction and make you drink it.","['HI', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN']",CSW,-1,25,-1,0,-1,-1
1579,train_1336,train_1336_0.wav,MONISHA,oh aise to yea thik hain. Mummy ji mere pass acche wale candles bhi hai,"Oh that's fine. Mom, I have good candles too","['HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI']",CSW,I,15,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",4,"[2, 4, 12, 13]","[2, 8, 1, 2]"
1580,train_1336,train_1336_1.wav,MAYA,thank god,thank god,"['EN', 'EN']",EN,-1,2,-1,0,-1,-1
1581,train_1336,train_1336_2.wav,MONISHA,yah dekhiae yah Sahil ki birthday par bachi Hui aur yah dadi ji ki birthday par Bach Gayi thi. aur yah wali Na mein Nainital Ki hotel se churai thi. aur yah wali meina,Let's see that she left on Sahil's birthday and it became clear that she left on Sahil's birthday. And this is what I stole from the hotel in Nainital. and this was the mein one,"['HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI']",CSW,I,34,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",8,"[5, 6, 14, 15, 22, 23, 26, 28]","[1, 8, 1, 7, 1, 3, 2, 6]"
1582,train_1336,train_1336_3.wav,MAYA,just leave,just leave,"['EN', 'EN']",EN,-1,2,-1,0,-1,-1
1583,train_1337,train_1337_0.wav,RADHABAI,"Madhu bhai, aap ka nashta.","Madhu Bhai, your breakfast.","['HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,5,-1,0,-1,-1
1584,train_1337,train_1337_1.wav,MADHUSUDAN,Yein kya hai?,What is this?,"['HI', 'HI', 'HI', 'OTHER']",HI,-1,3,-1,0,-1,-1
1585,train_1337,train_1337_2.wav,RADHABAI,Chinese wada paav!,Chinese wada paav!,"['EN', 'HI', 'HI', 'OTHER']",CSW,-1,3,-1,0,-1,-1
1586,train_1338,train_1338_0.wav,DUSHYANT,"Ye, kaise ho gaya ye?","This, how did this happen?","['EN', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,-1,5,-1,0,-1,-1
1587,train_1338,train_1338_1.wav,DUSHYANT,"Kal raat tak to, achchha bhala, hasta khelta, thanda tha nahi fridge!","Till last night, oh well, we were playing, the fridge was not cold!","['HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,I,12,"['EN > HI', 'HI > EN', 'EN > HI']",3,"[3, 4, 11]","[1, 7, 1]"
1588,train_1338,train_1338_2.wav,MAYA,"Haan. Kal to bechaare ne barph bhi jamai, aur fir achaanak... Can we cut this out Dushyant!","Yes. Yesterday the poor guy even got snow, and then suddenly... Can we cut this out Dushyant!","['HI', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'OTHER']",CSW,A,17,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",4,"[4, 5, 11, 16]","[1, 6, 5, 1]"
1589,train_1339,train_1339_0.wav,SAHIL,"Rosesh, ye kya hai, playboy?","Rosesh, what is this, playboy?","['EN', 'OTHER', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'OTHER']",CSW,I,5,"['HI > EN', 'EN > HI']",2,"[2, 4]","[2, 1]"
1590,train_1339,train_1339_1.wav,ROSESH,Hair spray ki ad aae hai bhai isame. Vo dekhaane keliye maine ise New York se mangavaaya tha.,"Brother, this is due to hair spray. To see that, I had ordered it from New York.","['EN', 'EN', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'OTHER']",CSW,I,18,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",5,"[2, 3, 4, 13, 16]","[1, 1, 9, 3, 2]"
1591,train_1339,train_1339_10.wav,ROSESH,"Lekin bhai, tabtak kya karenge?","But brother, what will you do till then?","['HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,5,-1,0,-1,-1
1592,train_1339,train_1339_11.wav,DUSHYANT,Magazines ki advertisements padhe?,Read advertisements in magazines?,"['EN', 'HI', 'EN', 'HI', 'OTHER']",CSW,I,4,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[1, 2, 3]","[1, 1, 1]"
1593,train_1339,train_1339_2.wav,SAHIL,Aur ye konsi ad ke liye mangavaae thi?,And for which occasion was this ordered?,"['HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,8,"['EN > HI', 'HI > EN']",2,"[3, 4]","[1, 4]"
1594,train_1339,train_1339_3.wav,SAHIL,Ye kabse mangavaa rahe ho?,How long have you been ordering this?,"['HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,-1,5,-1,0,-1,-1
1595,train_1339,train_1339_4.wav,ROSESH,December se...,Since December...,"['EN', 'HI', 'OTHER']",CSW,I,2,['HI > EN'],1,[1],[1]
1596,train_1339,train_1339_5.wav,SAHIL,Saal??,Year??,"['HI', 'OTHER']",HI,-1,1,-1,0,-1,-1
1597,train_1339,train_1339_6.wav,ROSESH,1996,1996,['EN'],EN,-1,1,-1,0,-1,-1
1598,train_1339,train_1339_7.wav,DUSHYANT,9 saal se mangaa rahe ho? Baki copies kaha hai?,Have you been ordering for 9 years? Where are the rest of the copies?,"['EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'OTHER']",CSW,I,10,"['HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",5,"[1, 5, 6, 7, 8]","[4, 1, 1, 1, 2]"
1599,train_1339,train_1339_8.wav,DUSHYANT,"Utho, utho.","Get up, get up.","['HI', 'OTHER', 'HI', 'OTHER']",HI,-1,2,-1,0,-1,-1
1600,train_1339,train_1339_9.wav,INDRAVARDHAN,"Sahil, Jayant ko phone kar diya hai, sara arrangement ho gaya hai. Ek ghante ke andar vo party organizer kya, babu, yaha pahuch raha hai.","Sahil has called Jayant, all arrangements have been made. That party organizer, Babu, is reaching here within an hour.","['HI', 'OTHER', 'EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'OTHER', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,25,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",6,"[1, 4, 8, 10, 17, 19]","[3, 4, 2, 7, 2, 6]"
1601,train_133,train_133_0.wav,SAHIL,Dad 100% haarne vaale hai!,Dad is a 100% loser!,"['EN', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,5,['HI > EN'],1,[2],[3]
1602,train_133,train_133_1.wav,MONISHA,"Aur barbaad mei ho jaaungi! Daddy ji agar haar gaye to unhe mummy ji ki har baat maani padegi! Aur mummy ji unse sabse pehale kahegi,""Indravardhan, Monisha ko support karna chodh do!"". Aur mera ekalauta supporter naa chaahate hue bhi mera dushman ban jaaega!","And I will die again! If daddy ji gets gaye then he will understand what mummy ji says! And mummy would be the first to say to us,""Indravardhan, go ahead and support Monisha!"". And my only supporter who wants this will also become my enemy!","['HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'OTHER', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'OTHER', 'OTHER', 'OTHER', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,44,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",10,"[5, 6, 10, 11, 28, 29, 31, 32, 35, 36]","[1, 4, 1, 17, 1, 2, 1, 3, 1, 8]"
1603,train_133,train_133_2.wav,SAHIL,"What do you mean, ekalauta supporter?","What do you mean, ekalauta supporter?","['EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'EN', 'OTHER']",CSW,I,6,"['HI > EN', 'EN > HI']",2,"[4, 5]","[1, 1]"
1604,train_133,train_133_3.wav,MONISHA,Aur nahi toh kya!,And if not then what!,"['HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1,4,-1,0,-1,-1
1605,train_133,train_133_4.wav,SAHIL,Mein hun na!,I am here!,"['HI', 'HI', 'EN', 'OTHER']",CSW,-1,3,-1,0,-1,-1
1606,train_133,train_133_5.wav,MONISHA,Tum! Tum to Maya devi camp zindabaad ho! Har cheej mein mujhse pehale mom!,You! Long live Maya Devi Camp! Mom before me in everything!,"['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER']",CSW,I,14,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI']",5,"[5, 6, 7, 8, 13]","[1, 1, 1, 5, 1]"
1607,train_1340,train_1340_8.wav,MAYA,Save those sarcasm for Monisha please!,Save those sarcasm for Monisha please!,"['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'OTHER']",EN,-1,6,-1,0,-1,-1
1608,train_1341,train_1341_0.wav,STRANGER,"Maya Sarabhai, hay hay! Maya Sarabhai, hay hay! 1, 2, 3, 4, band karo ye atyachaar!","Maya Sarabhai, hey hey! Maya Sarabhai, hey hey! 1, 2, 3, 4, stop this attack!","['HI', 'HI', 'OTHER', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'OTHER', 'EN', 'EN', 'OTHER', 'EN', 'OTHER', 'EN', 'OTHER', 'EN', 'OTHER', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'OTHER']",CSW,-1,16,-1,0,-1,-1
1609,train_1341,train_1341_1.wav,MAYA,Oh my God! What is the meaning of all this! Itne middle class naare!,Oh my God! What is the meaning of all this! This middle class is shouting!,"['EN', 'EN', 'EN', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'EN', 'EN', 'HI', 'OTHER']",CSW,I,14,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[10, 11, 13]","[1, 2, 1]"
